District,Price,Land Area,Floor,Bathroom,legal_status,Direction,Furniture,Have Mezzanine,Have Rooftop,Have Basement,Near Market,Near School,Near Hospital,Frontage,Securities Space,Have Car Park,Urgent Sale,Price/m2,Category
18,69.0,5.351858133476067,5.0,3.968098977428503,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3285714285714285,5
19,22.0,4.290459441148391,4.0,7.495389183695742,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,2
8,25.0,5.365976015021851,1.0,1.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1173708920187793,5
10,15.5,4.6913478822291435,5.0,4.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435185185185185,4
3,6.2,3.9318256327243257,3.0,5.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,2
11,15.6,4.394449154672439,4.0,6.0,2.0,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,2
3,9.2,4.394449154672439,3.0,5.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1149999999999999,2
3,7.39,4.405498990859024,3.0,4.0,2.0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0913473423980222,2
3,5.7,3.9318256327243257,3.0,5.0,2.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,2
16,36.0,4.61512051684126,7.0,4.29369728800611,2.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.36,5
12,26.0,4.61512051684126,4.0,3.4970445951980995,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26,5
12,22.0,4.442651256490317,5.0,15.0,2.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619047619047619,2
19,59.0,5.198497031265826,5.0,3.968098977428503,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3277777777777778,5
14,5.3,4.133565275375382,3.0,3.0,2.0,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863192182410423,2
6,7.5,4.290459441148391,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1041666666666666,5
